Name                                              	ID                  	Nametype                 	Recclass                 	Mass                	Fall                	Year                	Reclat              	Reclong             	Geolocation                   	State               	Countries                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Abee                                              	6                   	Valid                    	EH4                      	107000.0            	Fell                	1952                	54.21667            	-113                	"(54.21667, -113.0)"          	                    	                              
Akyumak                                           	433                 	Valid                    	"Iron, IVA"              	50000.0             	Fell                	1981                	39.91667            	42.81667            	"(39.91667, 42.81667)"        	                    	                              
Alfianello                                        	466                 	Valid                    	L6                       	228000.0            	Fell                	1883                	45.26667            	10.15               	"(45.26667, 10.15)"           	                    	                              
Allegan                                           	2276                	Valid                    	H5                       	32000.0             	Fell                	1899                	42.53333            	-85.88333           	"(42.53333, -85.88333)"       	50                  	429                           
Allende                                           	2278                	Valid                    	CV3                      	2000000.0           	Fell                	1969                	26.96667            	-105.31667          	"(26.96667, -105.31667)"      	                    	                              
Aumale                                            	4899                	Valid                    	L6                       	50000.0             	Fell                	1865                	36.16667            	3.66667             	"(36.16667, 3.66667)"         	                    	                              
Ausson                                            	4903                	Valid                    	L5                       	50000.0             	Fell                	1858                	43.08333            	0.58333             	"(43.08333, 0.58333)"         	                    	                              
Barwell                                           	4954                	Valid                    	L5                       	44000.0             	Fell                	1965                	52.56528            	-1.33972            	"(52.56528, -1.33972)"        	                    	                              
Bath Furnace                                      	4975                	Valid                    	L6                       	86000.0             	Fell                	1902                	38.25               	-83.75              	"(38.25, -83.75)"             	36                  	1921                          
Bensour                                           	5024                	Valid                    	LL6                      	45000.0             	Fell                	2002                	30                  	-7                  	"(30.0, -7.0)"                	                    	                              
Bjurb�le                                        	5064                	Valid                    	L/LL4                    	330000.0            	Fell                	1899                	60.4                	25.8                	"(60.4, 25.8)"                	                    	                              
Boguslavka                                        	5098                	Valid                    	"Iron, IIAB"             	256000.0            	Fell                	1916                	44.55               	131.63333           	"(44.55, 131.63333)"          	                    	                              
Braunau                                           	5133                	Valid                    	"Iron, IIAB"             	39000.0             	Fell                	1847                	50.6                	16.3                	"(50.6, 16.3)"                	                    	                              
Bruderheim                                        	5156                	Valid                    	L6                       	303000.0            	Fell                	1960                	53.9                	-112.88333          	"(53.9, -112.88333)"          	                    	                              
Bur-Gheluai                                       	5169                	Valid                    	H5                       	120000.0            	Fell                	1919                	5                   	48                  	"(5.0, 48.0)"                 	                    	                              
Buzzard Coulee                                    	48654               	Valid                    	H4                       	41000.0             	Fell                	2008                	52.996              	-109.84817          	"(52.996, -109.84817)"        	                    	                              
Cabin Creek                                       	5186                	Valid                    	"Iron, IIIAB"            	48500.0             	Fell                	1886                	35.5                	-93.5               	"(35.5, -93.5)"               	15                  	1029                          
Cangas de Onis                                    	5252                	Valid                    	H5                       	34000.0             	Fell                	1866                	43.38333            	-5.15               	"(43.38333, -5.15)"           	                    	                              
Chantonnay                                        	5325                	Valid                    	L6                       	31500.0             	Fell                	1812                	46.68333            	1.05                	"(46.68333, 1.05)"            	                    	                              
Chelyabinsk                                       	57165               	Valid                    	LL5                      	100000.0            	Fell                	2013                	54.81667            	61.11667            	"(54.81667, 61.11667)"        	                    	                              
Chergach                                          	47347               	Valid                    	H5                       	100000.0            	Fell                	2007                	23.69639            	-5.01472            	"(23.69639, -5.01472)"        	                    	                              
Colby (Wisconsin)                                 	5395                	Valid                    	L6                       	104000.0            	Fell                	1917                	44.9                	-90.28333           	"(44.9, -90.28333)"           	41                  	877                           
Dhajala                                           	6698                	Valid                    	H3.8                     	45000.0             	Fell                	1976                	22.37778            	71.42722            	"(22.37778, 71.42722)"        	                    	                              
Dhurmsala                                         	7640                	Valid                    	LL6                      	32000.0             	Fell                	1860                	32.23333            	76.46667            	"(32.23333, 76.46667)"        	                    	                              
Djati-Pengilon                                    	7652                	Valid                    	H6                       	166000.0            	Fell                	1884                	-7.5                	111.5               	"(-7.5, 111.5)"               	                    	                              
Dong Ujimqin Qi                                   	7706                	Valid                    	Mesosiderite             	128800.0            	Fell                	1995                	45.5                	119.03333           	"(45.5, 119.03333)"           	                    	                              
Dresden (Ontario)                                 	7731                	Valid                    	H6                       	47700.0             	Fell                	1939                	42.52               	-82.26              	"(42.52, -82.26)"             	                    	                              
Elbogen                                           	7823                	Valid                    	"Iron, IID"              	107000.0            	Fell                	1399                	50.18333            	12.73333            	"(50.18333, 12.73333)"        	                    	                              
Elenovka                                          	7824                	Valid                    	L5                       	54640.0             	Fell                	1951                	47.83333            	37.66667            	"(47.83333, 37.66667)"        	                    	                              
Ensisheim                                         	10039               	Valid                    	LL6                      	127000.0            	Fell                	1491                	47.86667            	7.35                	"(47.86667, 7.35)"            	                    	                              
Estherville                                       	10059               	Valid                    	Mesosiderite-A3/4        	320000.0            	Fell                	1879                	43.41667            	-94.83333           	"(43.41667, -94.83333)"       	16                  	277                           
Farmington                                        	10074               	Valid                    	L5                       	89400.0             	Fell                	1890                	39.75               	-97.03333           	"(39.75, -97.03333)"          	17                  	1300                          
Farmville                                         	10075               	Valid                    	H4                       	56000.0             	Fell                	1934                	35.55               	-77.53333           	"(35.55, -77.53333)"          	37                  	2439                          
Forest City                                       	10119               	Valid                    	H5                       	152000.0            	Fell                	1890                	43.25               	-93.66667           	"(43.25, -93.66667)"          	16                  	1785                          
Glasatovo                                         	10926               	Valid                    	H4                       	152000.0            	Fell                	1918                	57.35               	37.61667            	"(57.35, 37.61667)"           	                    	                              
Guare�a                                         	11439               	Valid                    	H6                       	39000.0             	Fell                	1892                	38.73333            	-6.01667            	"(38.73333, -6.01667)"        	                    	                              
Gujba                                             	11449               	Valid                    	CBa                      	100000.0            	Fell                	1984                	11.49167            	11.65833            	"(11.49167, 11.65833)"        	                    	                              
Gursum                                            	11465               	Valid                    	H4/5                     	34650.0             	Fell                	1981                	9.36667             	42.41667            	"(9.36667, 42.41667)"         	                    	                              
Holbrook                                          	11894               	Valid                    	L/LL6                    	220000.0            	Fell                	1912                	34.9                	-110.18333          	"(34.9, -110.18333)"          	7                   	990                           
Homestead                                         	11901               	Valid                    	L5                       	230000.0            	Fell                	1875                	41.8                	-91.86667           	"(41.8, -91.86667)"           	16                  	284                           
Hraschina                                         	11916               	Valid                    	"Iron, IID"              	49000.0             	Fell                	1751                	46.1                	16.33333            	"(46.1, 16.33333)"            	                    	                              
Jackalsfontein                                    	12065               	Valid                    	L6                       	48000.0             	Fell                	1903                	-32.5               	21.9                	"(-32.5, 21.9)"               	                    	                              
Jelica                                            	12078               	Valid                    	LL6                      	34000.0             	Fell                	1889                	43.83333            	20.44167            	"(43.83333, 20.44167)"        	                    	                              
Jianshi                                           	12087               	Valid                    	"Iron, IIIAB"            	600000.0            	Fell                	1890                	30.80833            	109.5               	"(30.80833, 109.5)"           	                    	                              
Jilin                                             	12171               	Valid                    	H5                       	4000000.0           	Fell                	1976                	44.05               	126.16667           	"(44.05, 126.16667)"          	                    	                              
Johnstown                                         	12198               	Valid                    	Diogenite                	40300.0             	Fell                	1924                	40.35               	-104.9              	"(40.35, -104.9)"             	9                   	1072                          
Juancheng                                         	12203               	Valid                    	H5                       	100000.0            	Fell                	1997                	35.5                	115.41667           	"(35.5, 115.41667)"           	                    	                              
Jumapalo                                          	12209               	Valid                    	L6                       	32490.0             	Fell                	1984                	-7.71667            	111.2               	"(-7.71667, 111.2)"           	                    	                              
Juvinas                                           	12214               	Valid                    	Eucrite-mmict            	91000.0             	Fell                	1821                	44.71667            	4.3                 	"(44.71667, 4.3)"             	                    	                              
Kainsaz                                           	12229               	Valid                    	CO3.2                    	200000.0            	Fell                	1937                	55.43333            	53.25               	"(55.43333, 53.25)"           	                    	                              
Karoonda                                          	12264               	Valid                    	CK4                      	41730.0             	Fell                	1930                	-35.08333           	139.91667           	"(-35.08333, 139.91667)"      	                    	                              
Kayakent                                          	12268               	Valid                    	"Iron, IIIAB"            	85000.0             	Fell                	1961                	39.26333            	31.78               	"(39.26333, 31.78)"           	                    	                              
Kernouve                                          	12284               	Valid                    	H6                       	80000.0             	Fell                	1869                	48.11667            	-3.08333            	"(48.11667, -3.08333)"        	                    	                              
Kesen                                             	12286               	Valid                    	H4                       	135000.0            	Fell                	1850                	38.98333            	141.61667           	"(38.98333, 141.61667)"       	                    	                              
Kidairat                                          	12300               	Valid                    	H6                       	100000.0            	Fell                	1983                	14                  	28                  	"(14.0, 28.0)"                	                    	                              
Knyahinya                                         	12335               	Valid                    	L/LL5                    	500000.0            	Fell                	1866                	48.9                	22.4                	"(48.9, 22.4)"                	                    	                              
Krymka                                            	12364               	Valid                    	LL3.2                    	50000.0             	Fell                	1946                	47.83333            	30.76667            	"(47.83333, 30.76667)"        	                    	                              
Kunashak                                          	12377               	Valid                    	L6                       	200000.0            	Fell                	1949                	55.78333            	61.36667            	"(55.78333, 61.36667)"        	                    	                              
Kunya-Urgench                                     	12379               	Valid                    	H5                       	1100000.0           	Fell                	1998                	42.25               	59.2                	"(42.25, 59.2)"               	                    	                              
Kuttippuram                                       	12384               	Valid                    	L6                       	45000.0             	Fell                	1914                	10.83333            	76.03333            	"(10.83333, 76.03333)"        	                    	                              
Kyushu                                            	12390               	Valid                    	L6                       	45000.0             	Fell                	1886                	32.03333            	130.63333           	"(32.03333, 130.63333)"       	                    	                              
La Criolla                                        	12396               	Valid                    	L6                       	45000.0             	Fell                	1985                	-31.23333           	-58.16667           	"(-31.23333, -58.16667)"      	                    	                              
L'Aigle                                           	12434               	Valid                    	L6                       	37000.0             	Fell                	1803                	48.76667            	0.63333             	"(48.76667, 0.63333)"         	                    	                              
Lanc�                                           	12455               	Valid                    	CO3.5                    	51700.0             	Fell                	1872                	47.7                	1.06667             	"(47.7, 1.06667)"             	                    	                              
Leedey                                            	12755               	Valid                    	L6                       	51500.0             	Fell                	1943                	35.88333            	-99.33333           	"(35.88333, -99.33333)"       	20                  	608                           
Limerick                                          	14652               	Valid                    	H5                       	50000.0             	Fell                	1813                	52.56667            	-8.78333            	"(52.56667, -8.78333)"        	                    	                              
Lohawat                                           	14678               	Valid                    	Howardite                	40000.0             	Fell                	1994                	26.96556            	72.62667            	"(26.96556, 72.62667)"        	                    	                              
?owicz                                            	14718               	Valid                    	Mesosiderite-A3          	59000.0             	Fell                	1935                	52                  	19.91667            	"(52.0, 19.91667)"            	                    	                              
Machinga                                          	15371               	Valid                    	L6                       	93200.0             	Fell                	1981                	-15.21222           	35.24222            	"(-15.21222, 35.24222)"       	                    	                              
Mahadevpur                                        	47361               	Valid                    	H4/5                     	70500.0             	Fell                	2007                	27.66667            	95.78333            	"(27.66667, 95.78333)"        	                    	                              
Marjalahti                                        	15426               	Valid                    	"Pallasite, PMG"         	45000.0             	Fell                	1902                	61.5                	30.5                	"(61.5, 30.5)"                	                    	                              
Mbale                                             	15455               	Valid                    	L5/6                     	150000.0            	Fell                	1992                	1.06667             	34.16667            	"(1.06667, 34.16667)"         	                    	                              
Merua                                             	15492               	Valid                    	H5                       	71400.0             	Fell                	1920                	25.48333            	81.98333            	"(25.48333, 81.98333)"        	                    	                              
Millbillillie                                     	16643               	Valid                    	Eucrite-mmict            	330000.0            	Fell                	1960                	-26.45              	120.36667           	"(-26.45, 120.36667)"         	                    	                              
Mocs                                              	16709               	Valid                    	L5-6                     	300000.0            	Fell                	1882                	46.8                	24.03333            	"(46.8, 24.03333)"            	                    	                              
Modoc (1905)                                      	16711               	Valid                    	L6                       	35000.0             	Fell                	1905                	38.5                	-101.1              	"(38.5, -101.1)"              	17                  	1290                          
Molina                                            	16715               	Valid                    	H5                       	144000.0            	Fell                	1858                	38.11667            	-1.16667            	"(38.11667, -1.16667)"        	                    	                              
Montferr�                                       	16727               	Valid                    	H5                       	149000.0            	Fell                	1923                	43.39056            	1.9625              	"(43.39056, 1.9625)"          	                    	                              
Mount Tazerzait                                   	16804               	Valid                    	L5                       	110000.0            	Fell                	1991                	18.7                	4.8                 	"(18.7, 4.8)"                 	                    	                              
Murchison                                         	16875               	Valid                    	CM2                      	100000.0            	Fell                	1969                	-36.61667           	145.2               	"(-36.61667, 145.2)"          	                    	                              
Nan Yang Pao                                      	16903               	Valid                    	L6                       	52900.0             	Fell                	1917                	35.66667            	103.5               	"(35.66667, 103.5)"           	                    	                              
New Concord                                       	16953               	Valid                    	L6                       	230000.0            	Fell                	1860                	40                  	-81.76667           	"(40.0, -81.76667)"           	38                  	2615                          
N'Goureyma                                        	16968               	Valid                    	"Iron, ungrouped"        	37500.0             	Fell                	1900                	13.85               	-4.38333            	"(13.85, -4.38333)"           	                    	                              
Norton County                                     	17922               	Valid                    	Aubrite                  	1100000.0           	Fell                	1948                	39.68333            	-99.86667           	"(39.68333, -99.86667)"       	17                  	1252                          
Nuevo Mercurio                                    	17938               	Valid                    	H5                       	50000.0             	Fell                	1978                	24.3                	-102.13333          	"(24.3, -102.13333)"          	                    	                              
Ochansk                                           	17979               	Valid                    	H4                       	500000.0            	Fell                	1887                	57.78333            	55.26667            	"(57.78333, 55.26667)"        	                    	                              
Olivenza                                          	18013               	Valid                    	LL5                      	150000.0            	Fell                	1924                	38.71667            	-7.06667            	"(38.71667, -7.06667)"        	                    	                              
Olmedilla de Alarc�n                            	18015               	Valid                    	H5                       	40000.0             	Fell                	1929                	39.56667            	-2.1                	"(39.56667, -2.1)"            	                    	                              
Omolon                                            	18019               	Valid                    	"Pallasite, PMG"         	250000.0            	Fell                	1981                	64.02               	161.80833           	"(64.02, 161.80833)"          	                    	                              
Paragould                                         	18101               	Valid                    	LL5                      	408000.0            	Fell                	1930                	36.06667            	-90.5               	"(36.06667, -90.5)"           	15                  	1023                          
Paranaiba                                         	18103               	Valid                    	L6                       	100000.0            	Fell                	1956                	-19.13333           	-51.66667           	"(-19.13333, -51.66667)"      	                    	                              
Parnallee                                         	18108               	Valid                    	LL3.6                    	77600.0             	Fell                	1857                	9.23333             	78.35               	"(9.23333, 78.35)"            	                    	                              
Patwar                                            	18171               	Valid                    	Mesosiderite-A1          	37350.0             	Fell                	1935                	23.15               	91.18333            	"(23.15, 91.18333)"           	                    	                              
Pavlograd                                         	18176               	Valid                    	L6                       	40000.0             	Fell                	1826                	48.53333            	35.98333            	"(48.53333, 35.98333)"        	                    	                              
Peace River                                       	18180               	Valid                    	L6                       	45760.0             	Fell                	1963                	56.13333            	-117.93333          	"(56.13333, -117.93333)"      	                    	                              
Pe�a Blanca Spring                              	18786               	Valid                    	Aubrite                  	70000.0             	Fell                	1946                	30.125              	-103.11667          	"(30.125, -103.11667)"        	23                  	3062                          
Pervomaisky                                       	18798               	Valid                    	L6                       	66000.0             	Fell                	1933                	56.63333            	39.43333            	"(56.63333, 39.43333)"        	                    	                              
Phillips County (stone)                           	18808               	Valid                    	L6                       	57900.0             	Fell                	1901                	40                  	-99.25              	"(40.0, -99.25)"              	17                  	1255                          
Piplia Kalan                                      	18831               	Valid                    	Eucrite-mmict            	42000.0             	Fell                	1996                	26.03472            	73.94167            	"(26.03472, 73.94167)"        	                    	                              
Portales Valley                                   	18874               	Valid                    	H6                       	71400.0             	Fell                	1998                	34.175              	-103.295            	"(34.175, -103.295)"          	11                  	1987                          
Pultusk                                           	18901               	Valid                    	H5                       	250000.0            	Fell                	1868                	52.76667            	21.26667            	"(52.76667, 21.26667)"        	                    	                              
Putinga                                           	18905               	Valid                    	L6                       	300000.0            	Fell                	1937                	-29.03333           	-53.05              	"(-29.03333, -53.05)"         	                    	                              
Rahimyar Khan                                     	31302               	Valid                    	L5                       	67225.0             	Fell                	1983                	28.225              	70.2                	"(28.225, 70.2)"              	                    	                              
Richardton                                        	22599               	Valid                    	H5                       	90000.0             	Fell                	1918                	46.88333            	-102.31667          	"(46.88333, -102.31667)"      	3                   	569                           
Saint-S�verin                                   	23102               	Valid                    	LL6                      	271000.0            	Fell                	1966                	45.3                	0.23333             	"(45.3, 0.23333)"             	                    	                              
Saratov                                           	23176               	Valid                    	L4                       	200000.0            	Fell                	1918                	52.55               	46.55               	"(52.55, 46.55)"              	                    	                              
Sevrukovo                                         	23509               	Valid                    	L5                       	101000.0            	Fell                	1874                	50.61667            	36.6                	"(50.61667, 36.6)"            	                    	                              
Sikhote-Alin                                      	23593               	Valid                    	"Iron, IIAB"             	23000000.0          	Fell                	1947                	46.16               	134.65333           	"(46.16, 134.65333)"          	                    	                              
Sivas                                             	23617               	Valid                    	H6                       	40000.0             	Fell                	1989                	39.82467            	36.13583            	"(39.82467, 36.13583)"        	                    	                              
Soko-Banja                                        	23661               	Valid                    	LL4                      	80000.0             	Fell                	1877                	43.66667            	21.86667            	"(43.66667, 21.86667)"        	                    	                              
Songyuan                                          	23668               	Valid                    	L6                       	36900.0             	Fell                	1993                	45.25               	125                 	"(45.25, 125.0)"              	                    	                              
St�lldalen                                      	23712               	Valid                    	H5                       	34000.0             	Fell                	1876                	59.93333            	14.95               	"(59.93333, 14.95)"           	                    	                              
Stannern                                          	23713               	Valid                    	Eucrite-mmict            	52000.0             	Fell                	1808                	49.28333            	15.56667            	"(49.28333, 15.56667)"        	                    	                              
Sterlitamak                                       	23724               	Valid                    	"Iron, IIIAB"            	325000.0            	Fell                	1990                	53.66667            	55.98333            	"(53.66667, 55.98333)"        	                    	                              
Suizhou                                           	23738               	Valid                    	L6                       	260000.0            	Fell                	1986                	31.61667            	113.46667           	"(31.61667, 113.46667)"       	                    	                              
Sulagiri                                          	48951               	Valid                    	LL6                      	110000.0            	Fell                	2008                	12.66667            	78.03333            	"(12.66667, 78.03333)"        	                    	                              
Tamdakht                                          	48691               	Valid                    	H5                       	100000.0            	Fell                	2008                	31.16333            	-7.015              	"(31.16333, -7.015)"          	                    	                              
Tenham                                            	23897               	Valid                    	L6                       	160000.0            	Fell                	1879                	-25.73333           	142.95              	"(-25.73333, 142.95)"         	                    	                              
Thuathe                                           	23976               	Valid                    	H4/5                     	45300.0             	Fell                	2002                	-29.33333           	27.58333            	"(-29.33333, 27.58333)"       	                    	                              
Tilden                                            	23998               	Valid                    	L6                       	74800.0             	Fell                	1927                	38.2                	-89.68333           	"(38.2, -89.68333)"           	34                  	1762                          
Timochin                                          	24004               	Valid                    	H5                       	65500.0             	Fell                	1807                	54.5                	35.2                	"(54.5, 35.2)"                	                    	                              
Treysa                                            	24050               	Valid                    	"Iron, IIIAB-an"         	63000.0             	Fell                	1916                	50.91667            	9.18333             	"(50.91667, 9.18333)"         	                    	                              
Uberaba                                           	24096               	Valid                    	H5                       	40000.0             	Fell                	1903                	-19.81667           	-48.78333           	"(-19.81667, -48.78333)"      	                    	                              
Udei Station                                      	24101               	Valid                    	"Iron, IAB-ung"          	103000.0            	Fell                	1927                	7.95                	8.08333             	"(7.95, 8.08333)"             	                    	                              
Valera                                            	24149               	Valid                    	L5                       	50000.0             	Fell                	1972                	9.31667             	-70.62833           	"(9.31667, -70.62833)"        	                    	                              
Veramin                                           	24162               	Valid                    	Mesosiderite-B2          	54000.0             	Fell                	1880                	35.33333            	51.63333            	"(35.33333, 51.63333)"        	                    	                              
Weston                                            	24249               	Valid                    	H4                       	150000.0            	Fell                	1807                	41.266667           	-73.266667          	"(41.266667, -73.266667)"     	24                  	1040                          
Wiluna                                            	24281               	Valid                    	H5                       	150000.0            	Fell                	1967                	-26.59278           	120.32833           	"(-26.59278, 120.32833)"      	                    	                              
Woolgorong                                        	24334               	Valid                    	L6                       	36000.0             	Fell                	1960                	-27.75              	115.83333           	"(-27.75, 115.83333)"         	                    	                              
Wuan                                              	24340               	Valid                    	H6                       	50000.0             	Fell                	1986                	36.75               	114.25              	"(36.75, 114.25)"             	                    	                              
Xingyang                                          	24346               	Valid                    	H6                       	75500.0             	Fell                	1977                	32.33333            	114.31667           	"(32.33333, 114.31667)"       	                    	                              
Yardymly                                          	30352               	Valid                    	"Iron, IAB complex"      	150200.0            	Fell                	1959                	38.93333            	48.25               	"(38.93333, 48.25)"           	                    	                              
Yonozu                                            	30366               	Valid                    	H4/5                     	31650.0             	Fell                	1837                	37.75               	139                 	"(37.75, 139.0)"              	                    	                              
Zag                                               	30384               	Valid                    	H3-6                     	175000.0            	Fell                	1998                	27.33333            	-9.33333            	"(27.33333, -9.33333)"        	                    	                              
Zavid                                             	30396               	Valid                    	L6                       	95000.0             	Fell                	1897                	44.4                	19.11667            	"(44.4, 19.11667)"            	                    	                              
Zemaitkiemis                                      	30399               	Valid                    	L6                       	44100.0             	Fell                	1933                	55.3                	25                  	"(55.3, 25.0)"                	                    	                              
Zhaodong                                          	30404               	Valid                    	L4                       	42000.0             	Fell                	1984                	45.81667            	125.91667           	"(45.81667, 125.91667)"       	                    	                              
Zhovtnevyi                                        	30407               	Valid                    	H6                       	107000.0            	Fell                	1938                	47.58333            	37.25               	"(47.58333, 37.25)"           	                    	                              
Acme                                              	371                 	Valid                    	H5                       	75000.0             	Found               	1947                	33.63333            	-104.26667          	"(33.63333, -104.26667)"      	11                  	2535                          
Acu�a                                           	373                 	Valid                    	"Iron, IIIAB"            	217700.0            	Found               	1981                	29.31667            	-100.96667          	"(29.31667, -100.96667)"      	                    	                              
ad-Dahbubah                                       	376                 	Valid                    	H5                       	90000.0             	Found               	1961                	19.83333            	51.25               	"(19.83333, 51.25)"           	                    	                              
Admire                                            	380                 	Valid                    	"Pallasite, PMG"         	180000.0            	Found               	1881                	38.7                	-96.1               	"(38.7, -96.1)"               	17                  	1242                          
